model_name,algorithm,region,input_combo,train_time,kernel_var,kernel_len,likelihood_var,M,batch_size
GPR_aegean_f1,GPR,Aegean,1,99.91358828544617,3.168003365588393,"2.3119555254115394,3.016412742865808",0.2224483508731387,150,100
GPR_black_sea_f1,GPR,Black Sea,1,95.49421215057372,2.904665041318896,"1.1790795753826766,1.249731631872485",0.1787033954114561,150,100
GPR_central_anatolia_f1,GPR,Central Anatolia,1,99.1567838191986,3.775128337682311,"0.9445444370775408,1.2729111993984088",0.1498458851169227,150,100
GPR_eastern_anatolia_f1,GPR,Eastern Anatolia,1,99.238835811615,3.122333427727697,"2.298116887370051,2.618315366887581",0.1492446631349497,150,100
GPR_marmara_f1,GPR,Marmara,1,91.5075957775116,3.342852132024936,"1.9247916552338178,2.048486121332864",0.1750716077609829,150,100
GPR_mediterranean_f1,GPR,Mediterranean,1,90.47035717964172,3.0915443038374515,"2.6241771919912074,3.03118472954662",0.3117079703811598,150,100
GPR_southeastern_anatolia_f1,GPR,Southeastern Anatolia,1,94.27833676338196,3.626041405569909,"1.976073518410198,1.9353693068981124",0.1530432944952177,150,100
GPR_all_data_f1,GPR,all_data,1,96.0152177810669,3.3247644857955625,"2.0568225927949686,3.0401947307162884",0.246439500484717,150,100
GPR_aegean_f2,GPR,Aegean,2,78.71712827682495,3.3225670270720924,"1.4067952240322752,1.3449420289739256",0.834820945318303,150,100
GPR_black_sea_f2,GPR,Black Sea,2,82.66683292388916,2.772436691224615,"1.6158349733981807,1.523745844263048",0.6999897287923468,150,100
GPR_central_anatolia_f2,GPR,Central Anatolia,2,82.53486371040344,3.093084294363839,"1.3449539575764855,1.9775786234971304",0.5367451809391768,150,100
GPR_eastern_anatolia_f2,GPR,Eastern Anatolia,2,79.1527943611145,3.149127147690903,"0.8483295019933936,3.1392158087686806",0.4132354141209125,150,100
GPR_marmara_f2,GPR,Marmara,2,82.43333792686462,3.168824208503976,"0.8526782951415008,1.6794022297131705",0.8477772346359222,150,100
GPR_mediterranean_f2,GPR,Mediterranean,2,81.52961015701294,3.170965741275072,"0.7444597339963108,1.6452087723459585",0.7498228654934467,150,100
GPR_southeastern_anatolia_f2,GPR,Southeastern Anatolia,2,81.81832122802734,3.7592262914276704,"1.6082246101997617,1.915748767255814",0.553294180810127,150,100
GPR_all_data_f2,GPR,all_data,2,78.0970811843872,3.08611071899926,"1.9232958488711251,1.0932441472141365",0.9430615442078674,150,100
GPR_aegean_f3,GPR,Aegean,3,79.64905047416687,3.4894939549178585,"1.5926024791399676,2.567433029309131,0.5033823945853395",0.0628995456054827,150,100
GPR_black_sea_f3,GPR,Black Sea,3,79.26866436004639,2.8587166229961087,"2.6509818566403878,3.2637247956731583,0.982850279355136",0.0532843803144949,150,100
GPR_central_anatolia_f3,GPR,Central Anatolia,3,80.13904333114624,3.623149937237379,"1.3216063738922512,1.8641541524242238,1.484536215870639",0.0522718653374823,150,100
GPR_eastern_anatolia_f3,GPR,Eastern Anatolia,3,79.38230156898499,3.031537996270293,"1.355843912831229,2.7220918562488947,0.9326436105716058",0.045679123839445,150,100
GPR_marmara_f3,GPR,Marmara,3,82.41832637786865,3.1314631922928955,"1.8499949343251654,3.3783992350852428,0.8543960019446377",0.0588793908195704,150,100
GPR_mediterranean_f3,GPR,Mediterranean,3,83.22824382781982,3.093388005067181,"1.7769696471897547,4.20297663504571,0.7876204549568211",0.0708167116994975,150,100
GPR_southeastern_anatolia_f3,GPR,Southeastern Anatolia,3,80.06402492523193,3.824228010116621,"2.622489297702677,2.828011797688009,1.5222574298809386",0.0500300135331911,150,100
GPR_all_data_f3,GPR,all_data,3,82.70283555984497,3.0651536666091124,"1.3885829222067394,3.2980299053187476,1.2443673288759178",0.0871289941468439,150,100
GPR_aegean_f4,GPR,Aegean,4,81.96258735656738,3.666903989488422,"1.6624205303660609,1.9666915283434072",0.5074901932999142,150,100
GPR_black_sea_f4,GPR,Black Sea,4,82.11812901496887,2.920451808362521,"1.1582818150628753,1.1953775351439493",0.5298205733193228,150,100
GPR_central_anatolia_f4,GPR,Central Anatolia,4,80.00199508666992,3.2221973088632563,"2.2146113803075935,2.5350050823425736",0.6273230672260809,150,100
GPR_eastern_anatolia_f4,GPR,Eastern Anatolia,4,84.55320501327515,3.280221525767751,"1.9781739271056942,1.547628827822191",0.5426315458331488,150,100
GPR_marmara_f4,GPR,Marmara,4,81.04895353317261,3.347020068587297,"1.5313804720985686,3.0608510762432193",0.556114696171319,150,100
GPR_mediterranean_f4,GPR,Mediterranean,4,88.23424649238586,3.136538594480692,"1.784468000836726,1.6420896466706536",0.6805139968296342,150,100
GPR_southeastern_anatolia_f4,GPR,Southeastern Anatolia,4,80.94281792640686,3.7047715499172265,"2.749329115523668,4.189342900043642",0.832891034652311,150,100
GPR_all_data_f4,GPR,all_data,4,83.28327131271362,3.336671938429067,"1.3678990524845613,1.921337240036123",0.691865522748153,150,100
GPR_aegean_f5,GPR,Aegean,5,81.92768907546997,3.186144295273429,"2.4710461837063016,4.180042106415629",0.5734468279473486,150,100
GPR_black_sea_f5,GPR,Black Sea,5,82.01589226722717,2.844331262941812,"1.8644924157803053,1.7577565050826942",0.4935001666458811,150,100
GPR_central_anatolia_f5,GPR,Central Anatolia,5,83.64503312110901,3.13251976594278,"1.7542189022409733,0.6840848936502942",0.6543083718862461,150,100
GPR_eastern_anatolia_f5,GPR,Eastern Anatolia,5,82.3324511051178,3.403742590823118,"1.5919717153719435,2.124317877959828",0.5586950313414275,150,100
GPR_marmara_f5,GPR,Marmara,5,81.59588646888733,3.306878068635433,"0.8615911362408125,0.9571166534145633",0.5827918350716477,150,100
GPR_mediterranean_f5,GPR,Mediterranean,5,84.02863502502441,3.4910864703618216,"1.6441658978372529,1.449261782466446",0.6475554048481957,150,100
GPR_southeastern_anatolia_f5,GPR,Southeastern Anatolia,5,82.84487414360046,3.729439521514721,"2.1572127421738774,1.3276063636603503",1.0019239289451676,150,100
GPR_all_data_f5,GPR,all_data,5,81.87247323989868,3.260477541600926,"1.2300244333756138,0.7979887620251892",0.7294843297614967,150,100
GPR_aegean_f6,GPR,Aegean,6,85.35041642189026,3.5111966194560638,"0.8849070220463833,0.7705740528905475",0.4984459717261065,150,100
GPR_black_sea_f6,GPR,Black Sea,6,84.8464457988739,3.040820680210411,"0.8139655380047227,1.5216499712411309",0.5142903292728651,150,100
GPR_central_anatolia_f6,GPR,Central Anatolia,6,88.72788262367249,3.327340046644009,"0.7533315249951795,1.0334885793667279",0.6037165880029357,150,100
GPR_eastern_anatolia_f6,GPR,Eastern Anatolia,6,84.05180239677429,3.1814133785782994,"0.697661695770344,0.703743105585373",0.5549573516017613,150,100
GPR_marmara_f6,GPR,Marmara,6,85.95682406425476,3.4677689796960984,"0.9520383629656186,1.1353328148106134",0.5679262855981562,150,100
