model_name,algorithm,region,input_combo,train_time
Polynomial_aegean_f1,Polynomial,Aegean,1,0.0019946098327636
Polynomial_black_sea_f1,Polynomial,Black Sea,1,0.0019962787628173
Polynomial_central_anatolia_f1,Polynomial,Central Anatolia,1,0.0019946098327636
Polynomial_eastern_anatolia_f1,Polynomial,Eastern Anatolia,1,0.0019946098327636
Polynomial_marmara_f1,Polynomial,Marmara,1,0.0009975433349609
Polynomial_mediterranean_f1,Polynomial,Mediterranean,1,0.0009968280792236
Polynomial_southeastern_anatolia_f1,Polynomial,Southeastern Anatolia,1,0.0019943714141845
Polynomial_all_data_f1,Polynomial,all_data,1,0.0059850215911865
Polynomial_aegean_f2,Polynomial,Aegean,2,0.0019953250885009
Polynomial_black_sea_f2,Polynomial,Black Sea,2,0.0019922256469726
Polynomial_central_anatolia_f2,Polynomial,Central Anatolia,2,0.00199556350708
Polynomial_eastern_anatolia_f2,Polynomial,Eastern Anatolia,2,0.0009975433349609
Polynomial_marmara_f2,Polynomial,Marmara,2,0.0009975433349609
Polynomial_mediterranean_f2,Polynomial,Mediterranean,2,0.0019948482513427
Polynomial_southeastern_anatolia_f2,Polynomial,Southeastern Anatolia,2,0.0009975433349609
Polynomial_all_data_f2,Polynomial,all_data,2,0.0059883594512939
Polynomial_aegean_f3,Polynomial,Aegean,3,0.0039899349212646
Polynomial_black_sea_f3,Polynomial,Black Sea,3,0.0019886493682861
Polynomial_central_anatolia_f3,Polynomial,Central Anatolia,3,0.0029916763305664
Polynomial_eastern_anatolia_f3,Polynomial,Eastern Anatolia,3,0.0029923915863037
Polynomial_marmara_f3,Polynomial,Marmara,3,0.0049719810485839
Polynomial_mediterranean_f3,Polynomial,Mediterranean,3,0.0019953250885009
Polynomial_southeastern_anatolia_f3,Polynomial,Southeastern Anatolia,3,0.0019948482513427
Polynomial_all_data_f3,Polynomial,all_data,3,0.0109691619873046
Polynomial_aegean_f4,Polynomial,Aegean,4,0.0019938945770263
Polynomial_black_sea_f4,Polynomial,Black Sea,4,0.0009963512420654
Polynomial_central_anatolia_f4,Polynomial,Central Anatolia,4,0.00099778175354
Polynomial_eastern_anatolia_f4,Polynomial,Eastern Anatolia,4,0.0029919147491455
Polynomial_marmara_f4,Polynomial,Marmara,4,0.0009980201721191
Polynomial_mediterranean_f4,Polynomial,Mediterranean,4,0.0019950866699218
Polynomial_southeastern_anatolia_f4,Polynomial,Southeastern Anatolia,4,0.0029904842376708
Polynomial_all_data_f4,Polynomial,all_data,4,0.014958381652832
Polynomial_aegean_f5,Polynomial,Aegean,5,0.0029926300048828
Polynomial_black_sea_f5,Polynomial,Black Sea,5,0.0009946823120117
Polynomial_central_anatolia_f5,Polynomial,Central Anatolia,5,0.0019941329956054
Polynomial_eastern_anatolia_f5,Polynomial,Eastern Anatolia,5,0.0019943714141845
Polynomial_marmara_f5,Polynomial,Marmara,5,0.0009958744049072
Polynomial_mediterranean_f5,Polynomial,Mediterranean,5,0.00099778175354
Polynomial_southeastern_anatolia_f5,Polynomial,Southeastern Anatolia,5,0.00099778175354
Polynomial_all_data_f5,Polynomial,all_data,5,0.0059819221496582
Polynomial_aegean_f6,Polynomial,Aegean,6,0.0029921531677246
Polynomial_black_sea_f6,Polynomial,Black Sea,6,0.0029921531677246
Polynomial_central_anatolia_f6,Polynomial,Central Anatolia,6,0.002993106842041
Polynomial_eastern_anatolia_f6,Polynomial,Eastern Anatolia,6,0.0029923915863037
Polynomial_marmara_f6,Polynomial,Marmara,6,0.0019953250885009
Polynomial_mediterranean_f6,Polynomial,Mediterranean,6,0.0019888877868652
Polynomial_southeastern_anatolia_f6,Polynomial,Southeastern Anatolia,6,0.0019946098327636
Polynomial_all_data_f6,Polynomial,all_data,6,0.0059921741485595
Polynomial_aegean_f7,Polynomial,Aegean,7,0.0019938945770263
Polynomial_black_sea_f7,Polynomial,Black Sea,7,0.0019948482513427
Polynomial_central_anatolia_f7,Polynomial,Central Anatolia,7,0.0029935836791992
Polynomial_eastern_anatolia_f7,Polynomial,Eastern Anatolia,7,0.0019950866699218
Polynomial_marmara_f7,Polynomial,Marmara,7,0.0019950866699218
Polynomial_mediterranean_f7,Polynomial,Mediterranean,7,0.0009970664978027
Polynomial_southeastern_anatolia_f7,Polynomial,Southeastern Anatolia,7,0.0019948482513427
Polynomial_all_data_f7,Polynomial,all_data,7,0.0049865245819091
Polynomial_aegean_f8,Polynomial,Aegean,8,0.0009973049163818
