model_name,algorithm,region,input_combo,dataset,MAE,RMSE,rRMSE,NSE
GPR_aegean_f1,GPR,Aegean,1,test,0.3822152267982743,0.4814526369780193,0.1234306701566693,0.9208312546017008
GPR_aegean_f1,GPR,Aegean,1,train,0.373925312271288,0.4723311512892466,0.1154663463978863,0.9355321709824568
GPR_aegean_f2,GPR,Aegean,2,test,0.6956292897395159,0.9008574800577166,0.2309540626407429,0.7228219717004504
GPR_aegean_f2,GPR,Aegean,2,train,0.7115476086721875,0.9066281336295974,0.2216348378589943,0.7624755888595316
GPR_aegean_f3,GPR,Aegean,3,test,0.2274139850327389,0.3156717967138833,0.0809292096986341,0.9659655930453234
GPR_aegean_f3,GPR,Aegean,3,train,0.1822899778462709,0.2470312692267977,0.0603894069357782,0.9823658826535084
GPR_aegean_f4,GPR,Aegean,4,test,0.7402704091155529,0.9433054925006116,0.2418365175703321,0.6960855500901026
GPR_aegean_f4,GPR,Aegean,4,train,0.558882916205923,0.710442247865753,0.1736751227689514,0.8541496665252454
GPR_aegean_f5,GPR,Aegean,5,test,0.7367020342126805,0.9462368959646564,0.2425880454804039,0.6941937342439153
GPR_aegean_f5,GPR,Aegean,5,train,0.591989944955862,0.7567453227967746,0.1849943992441093,0.8345185347123032
GPR_aegean_f6,GPR,Aegean,6,test,0.7639737080710192,0.9563458917448778,0.2451797025364243,0.6876247502767933
GPR_aegean_f6,GPR,Aegean,6,train,0.5463688563635817,0.7035118042625395,0.1719809025177666,0.8569813597234105
GPR_aegean_f7,GPR,Aegean,7,test,0.5849191179954378,0.7840110743710795,0.2009979900147286,0.7900620182894222
GPR_aegean_f7,GPR,Aegean,7,train,0.4272097974946001,0.5662690543839098,0.1384304605136144,0.9073393111095408
GPR_aegean_f8,GPR,Aegean,8,test,1.0855712704792375,1.3301856878051386,0.3410215216789732,0.3956741596880132
GPR_aegean_f8,GPR,Aegean,8,train,1.1760541651599226,1.4262116665891926,0.3486525288065278,0.4122158966180766
GPR_aegean_f9,GPR,Aegean,9,test,0.5137918631571273,0.7134488975304625,0.1829078683574483,0.8261509324887334
GPR_aegean_f9,GPR,Aegean,9,train,0.4368218539549442,0.5584090712570597,0.1365090044929196,0.909893774771908
GPR_aegean_f10,GPR,Aegean,10,test,0.597781646388139,0.7754151285439725,0.1987942356418583,0.7946403274958208
GPR_aegean_f10,GPR,Aegean,10,train,0.543337263557855,0.6964948974492762,0.1702655454202505,0.8598201002022166
GPR_aegean_f11,GPR,Aegean,11,test,0.6150229026604643,0.785612795744895,0.2014086255111197,0.7892033425578362
GPR_aegean_f11,GPR,Aegean,11,train,0.5389564312933619,0.6986194549493998,0.1707849159753831,0.8589635986327072
GPR_aegean_f12,GPR,Aegean,12,test,0.5050957934542459,0.6649600959038363,0.1704767280537313,0.8489788435627903
GPR_aegean_f12,GPR,Aegean,12,train,0.4088577401489142,0.5290429773158252,0.1293301521853465,0.9191217446128152
GPR_aegean_f13,GPR,Aegean,13,test,0.5361957180944212,0.6928707907255526,0.1776322310083034,0.8360350089649365
GPR_aegean_f13,GPR,Aegean,13,train,0.4724995485786447,0.6197903290353246,0.151514302266775,0.8889957881055006
GPR_aegean_f14,GPR,Aegean,14,test,0.2244025512626083,0.3091101652958032,0.0792469952894696,0.967365782934246
GPR_aegean_f14,GPR,Aegean,14,train,0.182399146644537,0.2478808600201146,0.0605970983924391,0.9822443794406236
GPR_aegean_f15,GPR,Aegean,15,test,0.1256041080196473,0.1773549895832541,0.045468740928071,0.9892568053282536
GPR_aegean_f15,GPR,Aegean,15,train,0.1126171727105585,0.1526844461644071,0.0373253280082571,0.9932634201305586
GPR_aegean_f16,GPR,Aegean,16,test,0.2362087873682989,0.316540979507682,0.0811520432786943,0.9657779117415016
GPR_aegean_f16,GPR,Aegean,16,train,0.1800998404809818,0.2442423221809843,0.0597076193280834,0.9827618082269556
GPR_black_sea_f1,GPR,Black Sea,1,test,0.3912877572009619,0.4905677091087339,0.1487311572215199,0.900953714063052
