metric,algorithm,region,input_combo,dataset,region_metric,general_metric
MAE,GPR,Aegean,1,test,0.3822152267982743,0.38415068251243606
MAE,GPR,Aegean,1,train,0.37392531227128806,0.3857069285903335
MAE,GPR,Black Sea,1,test,0.3912877572009619,0.3861339061794824
MAE,GPR,Black Sea,1,train,0.3190393100496045,0.3407094183851392
MAE,GPR,Central Anatolia,1,test,0.3052169907154085,0.3612068568967839
MAE,GPR,Central Anatolia,1,train,0.298626131360093,0.37167656968260426
MAE,GPR,Eastern Anatolia,1,test,0.29399066257941187,0.3516780511209215
MAE,GPR,Eastern Anatolia,1,train,0.2915263176952172,0.3561218948529823
MAE,GPR,Marmara,1,test,0.3385899923362226,0.37629594326684546
MAE,GPR,Marmara,1,train,0.33292540794093,0.3701097787781503
MAE,GPR,Mediterranean,1,test,0.4573323343903105,0.5372977620270528
MAE,GPR,Mediterranean,1,train,0.44272373483509403,0.5380722489337142
MAE,GPR,Southeastern Anatolia,1,test,0.3769297270770088,0.3722869946780025
MAE,GPR,Southeastern Anatolia,1,train,0.30416356274645445,0.3377683105024871
MAE,GPR,all_data,1,test,0.35248186267541765,0.3893493569975116
MAE,GPR,all_data,1,train,0.3347077897213129,0.38479986170191943
MAE,GPR,Aegean,2,test,0.6956292897395159,0.7225099100864198
MAE,GPR,Aegean,2,train,0.7115476086721875,0.7674691277781746
MAE,GPR,Black Sea,2,test,0.7739863919576474,0.7697496954578694
MAE,GPR,Black Sea,2,train,0.6387095982595035,0.7056577833487095
MAE,GPR,Central Anatolia,2,test,0.5715083112504674,0.7449848570749527
MAE,GPR,Central Anatolia,2,train,0.5626608118956926,0.7645494374950969
MAE,GPR,Eastern Anatolia,2,test,0.5264627324411267,0.6258218829009983
MAE,GPR,Eastern Anatolia,2,train,0.4896310813506678,0.5654778554520736
MAE,GPR,Marmara,2,test,0.6885078245543249,0.7741965961623613
MAE,GPR,Marmara,2,train,0.7192093232062579,0.8000997470803507
MAE,GPR,Mediterranean,2,test,0.7482736081296623,1.0013169851618975
MAE,GPR,Mediterranean,2,train,0.6739496055079944,1.022167159457649
MAE,GPR,Southeastern Anatolia,2,test,0.6866443675318281,0.7852964991038746
MAE,GPR,Southeastern Anatolia,2,train,0.5397068387538749,0.7241090881242623
MAE,GPR,all_data,2,test,0.6495831062155345,0.75758277751548
MAE,GPR,all_data,2,train,0.6181075216976868,0.7552503466320742
MAE,GPR,Aegean,3,test,0.227413985032739,0.20814503198596362
MAE,GPR,Aegean,3,train,0.182289977846271,0.19732265624644912
MAE,GPR,Black Sea,3,test,0.21639936899819845,0.22369091517756648
MAE,GPR,Black Sea,3,train,0.16430900703823423,0.2157460477212621
MAE,GPR,Central Anatolia,3,test,0.19473030812501002,0.2532932069007735
MAE,GPR,Central Anatolia,3,train,0.16811627030076357,0.23869874554623596
MAE,GPR,Eastern Anatolia,3,test,0.1707343804607363,0.18532812743654034
MAE,GPR,Eastern Anatolia,3,train,0.14930917870399188,0.1762416862647168
MAE,GPR,Marmara,3,test,0.2026728912629562,0.24689979235087187
MAE,GPR,Marmara,3,train,0.18170086560853574,0.2357781570463809
MAE,GPR,Mediterranean,3,test,0.21476024464437365,0.2441369613966049
MAE,GPR,Mediterranean,3,train,0.18767657053113135,0.26538139128470023
MAE,GPR,Southeastern Anatolia,3,test,0.2540336469846256,0.21503051750621255
MAE,GPR,Southeastern Anatolia,3,train,0.16038121661146668,0.18968997516671227
MAE,GPR,all_data,3,test,0.20551766973560587,0.22533815627881457
MAE,GPR,all_data,3,train,0.17067841563095762,0.2173191151404731
MAE,GPR,Aegean,4,test,0.7402704091155529,0.7118539648690237
MAE,GPR,Aegean,4,train,0.5588829162059229,0.5681707758643193
MAE,GPR,Black Sea,4,test,0.5992160911746564,0.6164275084643824
MAE,GPR,Black Sea,4,train,0.555379971911892,0.6175848651525683
MAE,GPR,Central Anatolia,4,test,0.5717666693477462,0.6866971139637482
MAE,GPR,Central Anatolia,4,train,0.6236610430215106,0.6970970195127121
MAE,GPR,Eastern Anatolia,4,test,0.566342481163368,0.5781030192990033
MAE,GPR,Eastern Anatolia,4,train,0.5625276622511544,0.6048867365460218
MAE,GPR,Marmara,4,test,0.6584637494638316,0.6748677091337847
MAE,GPR,Marmara,4,train,0.5815742647666458,0.5913569757191347
MAE,GPR,Mediterranean,4,test,0.7188612667538312,0.7201626700794539
MAE,GPR,Mediterranean,4,train,0.6386313747939342,0.7566622505506572
MAE,GPR,Southeastern Anatolia,4,test,0.8046947779963274,0.7301094126567539
MAE,GPR,Southeastern Anatolia,4,train,0.7146843620677306,0.7745565057424617
MAE,GPR,all_data,4,test,0.6474071310500746,0.6694656352771804
MAE,GPR,all_data,4,train,0.5948350097675442,0.6450399868979735
MAE,GPR,Aegean,5,test,0.7367020342126805,0.7160820786936466
MAE,GPR,Aegean,5,train,0.5919899449558621,0.5978637615827959
MAE,GPR,Black Sea,5,test,0.598705122070267,0.6112764341631068
MAE,GPR,Black Sea,5,train,0.5347065674358649,0.5984512719091925
MAE,GPR,Central Anatolia,5,test,0.6043937200988643,0.7129936022994218
MAE,GPR,Central Anatolia,5,train,0.6300348957904585,0.7177515705806248
MAE,GPR,Eastern Anatolia,5,test,0.5979863338207658,0.583565195308099
MAE,GPR,Eastern Anatolia,5,train,0.5734830114639418,0.5956481144359201
MAE,GPR,Marmara,5,test,0.6889402498986381,0.7020946303658979
MAE,GPR,Marmara,5,train,0.5896791929369378,0.6046429908499444
MAE,GPR,Mediterranean,5,test,0.7187750887257164,0.6921437165887541
MAE,GPR,Mediterranean,5,train,0.6277681719869598,0.7613224345579698
MAE,GPR,Southeastern Anatolia,5,test,0.6930786421149129,0.6811691623226032
MAE,GPR,Southeastern Anatolia,5,train,0.772952473918425,0.8451724634801018
MAE,GPR,all_data,5,test,0.6571436220780728,0.6740568239286597
MAE,GPR,all_data,5,train,0.6055816363315194,0.6581389516176349
MAE,GPR,Aegean,6,test,0.7639737080710192,0.7200326249724218
MAE,GPR,Aegean,6,train,0.5463688563635817,0.5628294530254948
MAE,GPR,Black Sea,6,test,0.5942830000579119,0.5939827936968325
MAE,GPR,Black Sea,6,train,0.5488594827301219,0.5971615073958503
MAE,GPR,Central Anatolia,6,test,0.5627486797353612,0.6510661114513109
MAE,GPR,Central Anatolia,6,train,0.6062455999221562,0.667454165681331
MAE,GPR,Eastern Anatolia,6,test,0.5774651742180684,0.5751738496148676
MAE,GPR,Eastern Anatolia,6,train,0.5689407764706688,0.6258623439329299
MAE,GPR,Marmara,6,test,0.6819344386718015,0.7073778537421906
MAE,GPR,Marmara,6,train,0.5859613857864027,0.6098278922173472
MAE,GPR,Mediterranean,6,test,0.7341276412007514,0.7389691054500402
MAE,GPR,Mediterranean,6,train,0.6222295495366763,0.7512177885607898
MAE,GPR,Southeastern Anatolia,6,test,0.7645592489859842,0.7396651622105768
MAE,GPR,Southeastern Anatolia,6,train,0.731479221849647,0.8058269920191184
MAE,GPR,all_data,6,test,0.6538695222873668,0.667365890161243
MAE,GPR,all_data,6,train,0.5887121293795897,0.6426104593288372
MAE,GPR,Aegean,7,test,0.584919117995438,0.5437611527260132
MAE,GPR,Aegean,7,train,0.42720979749460014,0.4320784968157535
MAE,GPR,Black Sea,7,test,0.3696910724979984,0.4554558792167454
MAE,GPR,Black Sea,7,train,0.4115354875851405,0.531528146256759
MAE,GPR,Central Anatolia,7,test,0.4462294794294754,0.5448012088191738
MAE,GPR,Central Anatolia,7,train,0.49326787740059835,0.5626915348407969
MAE,GPR,Eastern Anatolia,7,test,0.43097124267559767,0.45584802849074657
MAE,GPR,Eastern Anatolia,7,train,0.3736925970744293,0.4401120419336521
MAE,GPR,Marmara,7,test,0.5722046115424834,0.5718307401821452
MAE,GPR,Marmara,7,train,0.4806248220173859,0.4962566166196436
MAE,GPR,Mediterranean,7,test,0.5665888256758774,0.5174965587266236
MAE,GPR,Mediterranean,7,train,0.44699831715175176,0.529277187793832
MAE,GPR,Southeastern Anatolia,7,test,0.5089611813529521,0.4752422900198284
MAE,GPR,Southeastern Anatolia,7,train,0.621628551885823,0.7046886068816448
MAE,GPR,all_data,7,test,0.4961595425404686,0.5157701224676883
MAE,GPR,all_data,7,train,0.4518728769164922,0.5086139983843058
MAE,GPR,Aegean,8,test,1.0855712704792377,1.0866420361097644
MAE,GPR,Aegean,8,train,1.1760541651599226,1.1960764822485317
MAE,GPR,Black Sea,8,test,1.1423649305082393,1.1599287580987716
MAE,GPR,Black Sea,8,train,1.058549867477405,1.0902897107411773
MAE,GPR,Central Anatolia,8,test,1.175016932495388,1.2022776513447442
MAE,GPR,Central Anatolia,8,train,1.1563353539593846,1.1852721645005753
MAE,GPR,Eastern Anatolia,8,test,1.113472475756607,1.1282939289601412
MAE,GPR,Eastern Anatolia,8,train,1.0169290774847535,1.06436398586356
MAE,GPR,Marmara,8,test,1.1620744748875103,1.1434705593277388
MAE,GPR,Marmara,8,train,1.1543001576674705,1.1742870989697125
MAE,GPR,Mediterranean,8,test,1.3265352299079705,1.2860427026471215
MAE,GPR,Mediterranean,8,train,1.2037047240134997,1.229768182650356
MAE,GPR,Southeastern Anatolia,8,test,1.101634233487933,1.121829790554046
MAE,GPR,Southeastern Anatolia,8,train,0.965941294131647,1.0544003778472393
MAE,GPR,all_data,8,test,1.1553665284948191,1.1601113922187514
MAE,GPR,all_data,8,train,1.119593617532865,1.1522615540786456
MAE,GPR,Aegean,9,test,0.5137918631571273,0.48997088112894327
MAE,GPR,Aegean,9,train,0.4368218539549442,0.4591820217321492
MAE,GPR,Black Sea,9,test,0.4446071770988814,0.43182594299676097
MAE,GPR,Black Sea,9,train,0.38285657595810557,0.4216169340716533
MAE,GPR,Central Anatolia,9,test,0.5238997304932618,0.5519018729820457
MAE,GPR,Central Anatolia,9,train,0.4611406201447304,0.48963776962431976
MAE,GPR,Eastern Anatolia,9,test,0.5130166631923199,0.5493356236341813
